date,protocol,tvl
2025-05-09,aave-v3,21861782660
2025-05-10,aave-v3,23074590296
2025-05-11,aave-v3,24512598478
2025-05-12,aave-v3,24085326444
2025-05-13,aave-v3,23660585211
2025-05-14,aave-v3,24863562714
2025-05-15,aave-v3,23573607018
2025-05-16,aave-v3,23008243969
2025-05-17,aave-v3,23284168390
2025-05-18,aave-v3,23068905176
